Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Wed Jan 4 2012,8:30p,Golden State Warriors,95,San Antonio Spurs,101,Box Score,,16751,,1
Wed Jan 4 2012,9:00p,Sacramento Kings,83,Denver Nuggets,110,Box Score,,14562,,1
Wed Jan 4 2012,10:30p,Houston Rockets,89,Los Angeles Clippers,117,Box Score,,19060,,1
Thu Jan 5 2012,8:00p,Miami Heat,116,Atlanta Hawks,109,Box Score,3OT,18371,,0
Thu Jan 5 2012,8:30p,Dallas Mavericks,71,San Antonio Spurs,93,Box Score,,18581,,1
Thu Jan 5 2012,10:00p,Milwaukee Bucks,100,Sacramento Kings,103,Box Score,,11813,,1
Thu Jan 5 2012,10:30p,Los Angeles Lakers,96,Portland Trail Blazers,107,Box Score,,20444,,1
Fri Jan 6 2012,7:00p,Atlanta Hawks,102,Charlotte Bobcats,96,Box Score,OT,17827,,0
Fri Jan 6 2012,7:00p,Detroit Pistons,73,Philadelphia 76ers,96,Box Score,,19408,,1
Fri Jan 6 2012,7:00p,New Jersey Nets,97,Toronto Raptors,85,Box Score,,16771,,0
Fri Jan 6 2012,7:00p,New York Knicks,99,Washington Wizards,96,Box Score,,16998,,0
Fri Jan 6 2012,7:30p,Indiana Pacers,87,Boston Celtics,74,Box Score,,18624,,0
Fri Jan 6 2012,8:00p,Cleveland Cavaliers,98,Minnesota Timberwolves,87,Box Score,,16943,,0
Fri Jan 6 2012,8:00p,Denver Nuggets,96,New Orleans Hornets,88,Box Score,,13035,,0
Fri Jan 6 2012,8:00p,Houston Rockets,94,Oklahoma City Thunder,109,Box Score,,18203,,1
Fri Jan 6 2012,8:00p,Chicago Bulls,97,Orlando Magic,83,Box Score,,18912,,0
Fri Jan 6 2012,9:00p,Memphis Grizzlies,85,Utah Jazz,94,Box Score,,19503,,1
Fri Jan 6 2012,10:30p,Golden State Warriors,90,Los Angeles Lakers,97,Box Score,,18997,,1
Fri Jan 6 2012,10:30p,Portland Trail Blazers,77,Phoenix Suns,102,Box Score,,16235,,1
Sat Jan 7 2012,7:00p,Chicago Bulls,94,Atlanta Hawks,109,Box Score,,17112,,1
Sat Jan 7 2012,7:00p,Charlotte Bobcats,77,Indiana Pacers,99,Box Score,,17226,,1
Sat Jan 7 2012,7:30p,New York Knicks,103,Detroit Pistons,80,Box Score,,12044,,0
Sat Jan 7 2012,7:30p,Miami Heat,101,New Jersey Nets,90,Box Score,,18711,,0
Sat Jan 7 2012,8:00p,Oklahoma City Thunder,98,Houston Rockets,95,Box Score,,14327,,0
Sat Jan 7 2012,8:00p,Toronto Raptors,62,Philadelphia 76ers,97,Box Score,,14522,,1
Sat Jan 7 2012,8:30p,Denver Nuggets,117,San Antonio Spurs,121,Box Score,,17537,,1
Sat Jan 7 2012,9:00p,New Orleans Hornets,81,Dallas Mavericks,96,Box Score,,20409,,1
Sat Jan 7 2012,10:30p,Utah Jazz,88,Golden State Warriors,87,Box Score,,19596,,0
Sat Jan 7 2012,10:30p,Milwaukee Bucks,86,Los Angeles Clippers,92,Box Score,,19229,,1
Sun Jan 8 2012,1:00p,Minnesota Timberwolves,93,Washington Wizards,72,Box Score,,13095,,0
Sun Jan 8 2012,6:00p,Orlando Magic,104,Sacramento Kings,97,Box Score,,14150,,0
Sun Jan 8 2012,7:00p,San Antonio Spurs,96,Oklahoma City Thunder,108,Box Score,,18203,,1
Sun Jan 8 2012,8:00p,Milwaukee Bucks,93,Phoenix Suns,109,Box Score,,13420,,1
Sun Jan 8 2012,9:00p,Cleveland Cavaliers,78,Portland Trail Blazers,98,Box Score,,20292,,1
Sun Jan 8 2012,9:30p,Memphis Grizzlies,82,Los Angeles Lakers,90,Box Score,,18997,,1
Mon Jan 9 2012,7:00p,Indiana Pacers,86,Philadelphia 76ers,96,Box Score,,8612,,1
Mon Jan 9 2012,7:00p,Minnesota Timberwolves,87,Toronto Raptors,97,Box Score,,14097,,1
Mon Jan 9 2012,7:30p,Atlanta Hawks,106,New Jersey Nets,101,Box Score,,12259,,0
Mon Jan 9 2012,7:30p,Charlotte Bobcats,87,New York Knicks,91,Box Score,,19763,,1
Mon Jan 9 2012,8:00p,Detroit Pistons,68,Chicago Bulls,92,Box Score,,21530,,1
Mon Jan 9 2012,9:00p,New Orleans Hornets,94,Denver Nuggets,81,Box Score,,14002,,0
Tue Jan 10 2012,7:00p,Houston Rockets,82,Charlotte Bobcats,70,Box Score,,13421,,0
Tue Jan 10 2012,7:00p,Sacramento Kings,85,Philadelphia 76ers,112,Box Score,,10255,,1
Tue Jan 10 2012,7:00p,Toronto Raptors,78,Washington Wizards,93,Box Score,,14077,,1
Tue Jan 10 2012,7:30p,Dallas Mavericks,100,Detroit Pistons,86,Box Score,,10073,,0
Tue Jan 10 2012,8:00p,Oklahoma City Thunder,100,Memphis Grizzlies,95,Box Score,,13601,,0
Tue Jan 10 2012,8:00p,San Antonio Spurs,103,Milwaukee Bucks,106,Box Score,,11585,,1
Tue Jan 10 2012,8:00p,Chicago Bulls,111,Minnesota Timberwolves,100,Box Score,,19356,,0
Tue Jan 10 2012,9:00p,Cleveland Cavaliers,105,Utah Jazz,113,Box Score,,17859,,1
Tue Jan 10 2012,10:00p,Los Angeles Clippers,97,Portland Trail Blazers,105,Box Score,,20381,,1
Tue Jan 10 2012,10:30p,Miami Heat,106,Golden State Warriors,111,Box Score,OT,19596,,1
Tue Jan 10 2012,10:30p,Phoenix Suns,83,Los Angeles Lakers,99,Box Score,,18997,,1
Wed Jan 11 2012,7:00p,Atlanta Hawks,84,Indiana Pacers,96,Box Score,,10334,,1
Wed Jan 11 2012,7:00p,Sacramento Kings,98,Toronto Raptors,91,Box Score,,14323,,0
Wed Jan 11 2012,7:30p,Philadelphia 76ers,79,New York Knicks,85,Box Score,,19763,,1
Wed Jan 11 2012,8:00p,Dallas Mavericks,90,Boston Celtics,85,Box Score,,18624,,0
Wed Jan 11 2012,8:00p,Washington Wizards,64,Chicago Bulls,78,Box Score,,21366,,1
Wed Jan 11 2012,8:00p,Oklahoma City Thunder,95,New Orleans Hornets,85,Box Score,,13565,,0
Wed Jan 11 2012,8:30p,Houston Rockets,95,San Antonio Spurs,101,Box Score,OT,17381,,1
Wed Jan 11 2012,9:00p,New Jersey Nets,115,Denver Nuggets,123,Box Score,,14139,,1
Wed Jan 11 2012,9:00p,Los Angeles Lakers,90,Utah Jazz,87,Box Score,OT,19642,,0
Wed Jan 11 2012,10:00p,Orlando Magic,107,Portland Trail Blazers,104,Box Score,,20467,,0
Wed Jan 11 2012,10:30p,Miami Heat,89,Los Angeles Clippers,95,Box Score,OT,19341,,1
Thu Jan 12 2012,7:30p,Charlotte Bobcats,81,Atlanta Hawks,111,Box Score,,10597,,1
Thu Jan 12 2012,8:00p,New York Knicks,83,Memphis Grizzlies,94,Box Score,,15324,,1
Thu Jan 12 2012,8:00p,Detroit Pistons,93,Milwaukee Bucks,102,Box Score,,11465,,1
Thu Jan 12 2012,9:00p,Cleveland Cavaliers,101,Phoenix Suns,90,Box Score,,14636,,0
Thu Jan 12 2012,10:30p,Orlando Magic,117,Golden State Warriors,109,Box Score,,17754,,0
Fri Jan 13 2012,7:00p,Detroit Pistons,98,Charlotte Bobcats,81,Box Score,,18043,,0
Fri Jan 13 2012,7:00p,Washington Wizards,89,Philadelphia 76ers,120,Box Score,,14213,,1
Fri Jan 13 2012,7:00p,Indiana Pacers,95,Toronto Raptors,90,Box Score,,15302,,0
Fri Jan 13 2012,8:00p,Chicago Bulls,88,Boston Celtics,79,Box Score,,18624,,0
Fri Jan 13 2012,8:00p,Sacramento Kings,89,Houston Rockets,103,Box Score,,12870,,1
Fri Jan 13 2012,8:00p,Minnesota Timberwolves,87,New Orleans Hornets,80,Box Score,,14295,,0
Fri Jan 13 2012,8:30p,Milwaukee Bucks,76,Dallas Mavericks,102,Box Score,,20112,,1
Fri Jan 13 2012,8:30p,Portland Trail Blazers,83,San Antonio Spurs,99,Box Score,,18581,,1
Fri Jan 13 2012,9:00p,New Jersey Nets,110,Phoenix Suns,103,Box Score,,15191,,0
Fri Jan 13 2012,10:30p,Miami Heat,104,Denver Nuggets,117,Box Score,,19155,,1
Fri Jan 13 2012,10:30p,Cleveland Cavaliers,92,Los Angeles Lakers,97,Box Score,,18997,,1
Sat Jan 14 2012,7:00p,Minnesota Timberwolves,91,Atlanta Hawks,93,Box Score,,13135,,1
Sat Jan 14 2012,7:00p,Golden State Warriors,100,Charlotte Bobcats,112,Box Score,,16122,,1
Sat Jan 14 2012,7:00p,Boston Celtics,83,Indiana Pacers,97,Box Score,,14203,,1
Sat Jan 14 2012,7:00p,Philadelphia 76ers,103,Washington Wizards,90,Box Score,,13998,,0
Sat Jan 14 2012,8:00p,Toronto Raptors,64,Chicago Bulls,77,Box Score,,21962,,1
Sat Jan 14 2012,8:00p,Portland Trail Blazers,105,Houston Rockets,107,Box Score,OT,11676,,1
Sat Jan 14 2012,8:00p,New Orleans Hornets,99,Memphis Grizzlies,108,Box Score,,14983,,1
Sat Jan 14 2012,8:00p,New York Knicks,92,Oklahoma City Thunder,104,Box Score,,18203,,1
Sat Jan 14 2012,9:00p,Sacramento Kings,60,Dallas Mavericks,99,Box Score,,20313,,1
Sat Jan 14 2012,9:00p,New Jersey Nets,94,Utah Jazz,107,Box Score,,19557,,1
Sat Jan 14 2012,10:30p,Los Angeles Lakers,94,Los Angeles Clippers,102,Box Score,,19895,,1
Sun Jan 15 2012,6:00p,Golden State Warriors,99,Detroit Pistons,91,Box Score,,11774,,0
Sun Jan 15 2012,8:00p,Utah Jazz,106,Denver Nuggets,96,Box Score,,16208,,0
Sun Jan 15 2012,9:00p,Phoenix Suns,91,San Antonio Spurs,102,Box Score,,18581,,1
Mon Jan 16 2012,1:00p,Chicago Bulls,86,Memphis Grizzlies,102,Box Score,,18119,,1
Mon Jan 16 2012,1:00p,Orlando Magic,102,New York Knicks,93,Box Score,,19763,,0
Mon Jan 16 2012,2:00p,Cleveland Cavaliers,102,Charlotte Bobcats,94,Box Score,,14988,,0
Mon Jan 16 2012,2:00p,Milwaukee Bucks,82,Philadelphia 76ers,94,Box Score,,17281,,1
Mon Jan 16 2012,2:00p,Houston Rockets,114,Washington Wizards,106,Box Score,,15594,,0
Mon Jan 16 2012,3:00p,Portland Trail Blazers,84,New Orleans Hornets,77,Box Score,,14758,,0
Mon Jan 16 2012,3:30p,New Jersey Nets,91,Los Angeles Clippers,101,Box Score,,19060,,1
Mon Jan 16 2012,4:00p,Toronto Raptors,84,Atlanta Hawks,93,Box Score,,11050,,1
Mon Jan 16 2012,8:00p,Oklahoma City Thunder,97,Boston Celtics,88,Box Score,,18624,,0
Mon Jan 16 2012,8:00p,Sacramento Kings,86,Minnesota Timberwolves,99,Box Score,,16159,,1
Mon Jan 16 2012,10:30p,Dallas Mavericks,70,Los Angeles Lakers,73,Box Score,,18997,,1
Tue Jan 17 2012,7:00p,Golden State Warriors,105,Cleveland Cavaliers,95,Box Score,,13056,,0
Tue Jan 17 2012,7:00p,Charlotte Bobcats,89,Orlando Magic,96,Box Score,,18846,,1
Tue Jan 17 2012,7:30p,San Antonio Spurs,98,Miami Heat,120,Box Score,,19600,,1
Tue Jan 17 2012,8:00p,Phoenix Suns,97,Chicago Bulls,118,Box Score,,21347,,1
Tue Jan 17 2012,8:00p,Detroit Pistons,80,Houston Rockets,97,Box Score,,9318,,1
Tue Jan 17 2012,8:00p,Denver Nuggets,105,Milwaukee Bucks,95,Box Score,,11322,,0
Tue Jan 17 2012,9:00p,Los Angeles Clippers,79,Utah Jazz,108,Box Score,,19371,,1
Wed Jan 18 2012,7:00p,San Antonio Spurs,85,Orlando Magic,83,Box Score,OT,18846,,0
Wed Jan 18 2012,7:00p,Denver Nuggets,108,Philadelphia 76ers,104,Box Score,OT,15201,,0
Wed Jan 18 2012,7:00p,Oklahoma City Thunder,102,Washington Wizards,105,Box Score,,15075,,1
Wed Jan 18 2012,7:30p,Toronto Raptors,73,Boston Celtics,96,Box Score,,18624,,1
Wed Jan 18 2012,7:30p,Golden State Warriors,100,New Jersey Nets,107,Box Score,,12570,,1
Wed Jan 18 2012,7:30p,Phoenix Suns,91,New York Knicks,88,Box Score,,19763,,0
Wed Jan 18 2012,8:00p,Portland Trail Blazers,89,Atlanta Hawks,92,Box Score,,13729,,1
Wed Jan 18 2012,8:00p,Detroit Pistons,85,Minnesota Timberwolves,93,Box Score,,15598,,1
Wed Jan 18 2012,8:00p,Memphis Grizzlies,93,New Orleans Hornets,87,Box Score,,12045,,0
Wed Jan 18 2012,10:00p,Indiana Pacers,88,Sacramento Kings,92,Box Score,,14170,,1
Wed Jan 18 2012,10:30p,Dallas Mavericks,89,Los Angeles Clippers,91,Box Score,,19252,,1
Thu Jan 19 2012,8:00p,New Orleans Hornets,88,Houston Rockets,90,Box Score,OT,10845,,1
Thu Jan 19 2012,8:00p,Los Angeles Lakers,87,Miami Heat,98,Box Score,,20004,,1
Thu Jan 19 2012,10:30p,Dallas Mavericks,94,Utah Jazz,91,Box Score,,19911,,0
Fri Jan 20 2012,7:00p,Atlanta Hawks,76,Philadelphia 76ers,90,Box Score,,17724,,1
Fri Jan 20 2012,7:00p,Portland Trail Blazers,94,Toronto Raptors,84,Box Score,,17537,,0
Fri Jan 20 2012,7:00p,Denver Nuggets,108,Washington Wizards,104,Box Score,,14866,,0
Fri Jan 20 2012,7:30p,Phoenix Suns,79,Boston Celtics,71,Box Score,,18624,,0
Fri Jan 20 2012,7:30p,Chicago Bulls,114,Cleveland Cavaliers,75,Box Score,,17871,,0
Fri Jan 20 2012,7:30p,Memphis Grizzlies,98,Detroit Pistons,81,Box Score,,10255,,0
Fri Jan 20 2012,7:30p,Milwaukee Bucks,100,New York Knicks,86,Box Score,,19763,,0
Fri Jan 20 2012,8:00p,Los Angeles Lakers,80,Orlando Magic,92,Box Score,,18846,,1
Fri Jan 20 2012,8:30p,Sacramento Kings,88,San Antonio Spurs,86,Box Score,,18581,,0
Fri Jan 20 2012,10:30p,Indiana Pacers,94,Golden State Warriors,91,Box Score,,17621,,0
Fri Jan 20 2012,10:30p,Minnesota Timberwolves,101,Los Angeles Clippers,98,Box Score,,19492,,0
Sat Jan 21 2012,7:00p,Cleveland Cavaliers,94,Atlanta Hawks,121,Box Score,,15922,,1
Sat Jan 21 2012,7:30p,Portland Trail Blazers,91,Detroit Pistons,94,Box Score,,14456,,1
Sat Jan 21 2012,7:30p,Philadelphia 76ers,92,Miami Heat,113,Box Score,,19725,,1
Sat Jan 21 2012,7:30p,Denver Nuggets,119,New York Knicks,114,Box Score,2OT,19763,,0
Sat Jan 21 2012,8:00p,Charlotte Bobcats,89,Chicago Bulls,95,Box Score,,21861,,1
Sat Jan 21 2012,8:00p,San Antonio Spurs,102,Houston Rockets,105,Box Score,,15285,,1
Sat Jan 21 2012,8:00p,Sacramento Kings,95,Memphis Grizzlies,128,Box Score,,16562,,1
Sat Jan 21 2012,8:00p,Oklahoma City Thunder,84,New Jersey Nets,74,Box Score,,15201,,0
Sat Jan 21 2012,8:00p,Dallas Mavericks,83,New Orleans Hornets,81,Box Score,,15471,,0
Sat Jan 21 2012,9:00p,Minnesota Timberwolves,98,Utah Jazz,108,Box Score,,19911,,1
Sun Jan 22 2012,1:00p,Boston Celtics,100,Washington Wizards,94,Box Score,,15818,,0
Sun Jan 22 2012,3:30p,Toronto Raptors,91,Los Angeles Clippers,103,Box Score,,19060,,1
Sun Jan 22 2012,6:00p,Milwaukee Bucks,91,Miami Heat,82,Box Score,,19600,,0
Sun Jan 22 2012,6:00p,Charlotte Bobcats,87,New Jersey Nets,97,Box Score,,10035,,1
Sun Jan 22 2012,9:30p,Indiana Pacers,98,Los Angeles Lakers,96,Box Score,,18997,,0
Mon Jan 23 2012,7:00p,Washington Wizards,83,Philadelphia 76ers,103,Box Score,,10108,,1
Mon Jan 23 2012,7:30p,Orlando Magic,56,Boston Celtics,87,Box Score,,18624,,1
Mon Jan 23 2012,8:00p,New Jersey Nets,95,Chicago Bulls,110,Box Score,,21572,,1
Mon Jan 23 2012,8:00p,Atlanta Hawks,97,Milwaukee Bucks,92,Box Score,,13048,,0
Mon Jan 23 2012,8:00p,Houston Rockets,107,Minnesota Timberwolves,92,Box Score,,16924,,0
Mon Jan 23 2012,8:00p,San Antonio Spurs,104,New Orleans Hornets,102,Box Score,,12599,,0
Mon Jan 23 2012,8:00p,Detroit Pistons,79,Oklahoma City Thunder,99,Box Score,,18203,,1
Mon Jan 23 2012,8:30p,Phoenix Suns,87,Dallas Mavericks,93,Box Score,,19944,,1
Mon Jan 23 2012,10:00p,Sacramento Kings,89,Portland Trail Blazers,101,Box Score,,20363,,1
Mon Jan 23 2012,10:30p,Memphis Grizzlies,91,Golden State Warriors,90,Box Score,,17549,,0
Tue Jan 24 2012,7:00p,New York Knicks,111,Charlotte Bobcats,78,Box Score,,16802,,0
Tue Jan 24 2012,7:00p,Orlando Magic,102,Indiana Pacers,83,Box Score,,12760,,0
Tue Jan 24 2012,7:30p,Cleveland Cavaliers,85,Miami Heat,92,Box Score,,19600,,1
Tue Jan 24 2012,9:00p,Toronto Raptors,99,Phoenix Suns,96,Box Score,,15404,,0
Tue Jan 24 2012,10:00p,Memphis Grizzlies,84,Portland Trail Blazers,97,Box Score,,20602,,1
Wed Jan 25 2012,7:00p,New York Knicks,81,Cleveland Cavaliers,91,Box Score,,16760,,1
Wed Jan 25 2012,7:00p,New Jersey Nets,97,Philadelphia 76ers,90,Box Score,OT,13138,,0
Wed Jan 25 2012,7:00p,Charlotte Bobcats,75,Washington Wizards,92,Box Score,,15286,,1
Wed Jan 25 2012,7:30p,Miami Heat,101,Detroit Pistons,98,Box Score,,18058,,0
Wed Jan 25 2012,8:00p,Indiana Pacers,95,Chicago Bulls,90,Box Score,,21755,,0
Wed Jan 25 2012,8:00p,Milwaukee Bucks,105,Houston Rockets,99,Box Score,,10573,,0
Wed Jan 25 2012,8:00p,New Orleans Hornets,91,Oklahoma City Thunder,101,Box Score,,18203,,1
Wed Jan 25 2012,8:30p,Minnesota Timberwolves,105,Dallas Mavericks,90,Box Score,,20150,,0
Wed Jan 25 2012,8:30p,Atlanta Hawks,83,San Antonio Spurs,105,Box Score,,17888,,1
Wed Jan 25 2012,9:00p,Toronto Raptors,111,Utah Jazz,106,Box Score,2OT,19802,,0
Wed Jan 25 2012,10:00p,Denver Nuggets,122,Sacramento Kings,93,Box Score,,12097,,0
Wed Jan 25 2012,10:30p,Portland Trail Blazers,93,Golden State Warriors,101,Box Score,,17923,,1
Wed Jan 25 2012,10:30p,Los Angeles Clippers,91,Los Angeles Lakers,96,Box Score,,18997,,1
Thu Jan 26 2012,8:00p,Boston Celtics,91,Orlando Magic,83,Box Score,,18952,,0
Thu Jan 26 2012,10:30p,Memphis Grizzlies,91,Los Angeles Clippers,98,Box Score,,19275,,1
Fri Jan 27 2012,7:00p,Charlotte Bobcats,72,Philadelphia 76ers,89,Box Score,,16199,,1
Fri Jan 27 2012,7:30p,Indiana Pacers,87,Boston Celtics,94,Box Score,,18624,,1
Fri Jan 27 2012,7:30p,New Jersey Nets,99,Cleveland Cavaliers,96,Box Score,,13121,,0
Fri Jan 27 2012,7:30p,Atlanta Hawks,107,Detroit Pistons,101,Box Score,OT,14010,,0
Fri Jan 27 2012,8:00p,Milwaukee Bucks,100,Chicago Bulls,107,Box Score,,22368,,1
Fri Jan 27 2012,8:00p,Washington Wizards,76,Houston Rockets,103,Box Score,,13894,,1
Fri Jan 27 2012,8:00p,New York Knicks,89,Miami Heat,99,Box Score,,19707,,1
Fri Jan 27 2012,8:00p,San Antonio Spurs,79,Minnesota Timberwolves,87,Box Score,,16699,,1
Fri Jan 27 2012,8:00p,Orlando Magic,67,New Orleans Hornets,93,Box Score,,16176,,1
Fri Jan 27 2012,8:30p,Utah Jazz,101,Dallas Mavericks,116,Box Score,,20096,,1
Fri Jan 27 2012,9:00p,Toronto Raptors,81,Denver Nuggets,96,Box Score,,18855,,1
Fri Jan 27 2012,10:00p,Phoenix Suns,71,Portland Trail Blazers,109,Box Score,,20664,,1
Fri Jan 27 2012,10:30p,Oklahoma City Thunder,120,Golden State Warriors,109,Box Score,,19596,,0
Sat Jan 28 2012,7:00p,Washington Wizards,102,Charlotte Bobcats,99,Box Score,,17761,,0
Sat Jan 28 2012,7:00p,Detroit Pistons,74,Philadelphia 76ers,95,Box Score,,18710,,1
Sat Jan 28 2012,8:00p,New York Knicks,84,Houston Rockets,97,Box Score,,18051,,1
Sat Jan 28 2012,8:30p,Los Angeles Lakers,89,Milwaukee Bucks,100,Box Score,,18027,,1
Sat Jan 28 2012,9:00p,Memphis Grizzlies,84,Phoenix Suns,86,Box Score,,14903,,1
Sat Jan 28 2012,9:00p,Sacramento Kings,93,Utah Jazz,96,Box Score,,19911,,1
Sun Jan 29 2012,3:30p,Chicago Bulls,93,Miami Heat,97,Box Score,,20054,,1
Sun Jan 29 2012,6:00p,Cleveland Cavaliers,88,Boston Celtics,87,Box Score,,18624,,0
Sun Jan 29 2012,6:00p,Toronto Raptors,94,New Jersey Nets,73,Box Score,,14319,,0
Sun Jan 29 2012,6:00p,Indiana Pacers,106,Orlando Magic,85,Box Score,,18846,,0
Sun Jan 29 2012,6:30p,San Antonio Spurs,100,Dallas Mavericks,101,Box Score,OT,20262,,1
Sun Jan 29 2012,7:00p,Los Angeles Lakers,106,Minnesota Timberwolves,101,Box Score,,17551,,0
Sun Jan 29 2012,7:00p,Atlanta Hawks,94,New Orleans Hornets,72,Box Score,,14962,,0
Sun Jan 29 2012,8:00p,Los Angeles Clippers,109,Denver Nuggets,105,Box Score,,19495,,0
Mon Jan 30 2012,7:00p,Orlando Magic,69,Philadelphia 76ers,74,Box Score,,16299,,1
Mon Jan 30 2012,7:00p,Chicago Bulls,98,Washington Wizards,88,Box Score,,18357,,0
Mon Jan 30 2012,7:30p,New Orleans Hornets,95,Miami Heat,109,Box Score,,19804,,1
Mon Jan 30 2012,8:00p,Minnesota Timberwolves,120,Houston Rockets,108,Box Score,,14264,,0
Mon Jan 30 2012,8:00p,San Antonio Spurs,83,Memphis Grizzlies,73,Box Score,,15118,,0
Mon Jan 30 2012,8:00p,Detroit Pistons,82,Milwaukee Bucks,103,Box Score,,13103,,1
Mon Jan 30 2012,9:00p,Dallas Mavericks,122,Phoenix Suns,99,Box Score,,13132,,0
Mon Jan 30 2012,9:00p,Portland Trail Blazers,89,Utah Jazz,93,Box Score,,19328,,1
Mon Jan 30 2012,10:30p,Oklahoma City Thunder,100,Los Angeles Clippers,112,Box Score,,19404,,1
Tue Jan 31 2012,7:00p,Boston Celtics,93,Cleveland Cavaliers,90,Box Score,,14798,,0
Tue Jan 31 2012,7:00p,New Jersey Nets,99,Indiana Pacers,106,Box Score,,11408,,1
Tue Jan 31 2012,7:00p,Atlanta Hawks,100,Toronto Raptors,77,Box Score,,16117,,0
Tue Jan 31 2012,7:30p,Detroit Pistons,86,New York Knicks,113,Box Score,,19763,,1
Tue Jan 31 2012,8:00p,Denver Nuggets,97,Memphis Grizzlies,100,Box Score,OT,13651,,1
Tue Jan 31 2012,10:30p,Sacramento Kings,90,Golden State Warriors,93,Box Score,,17753,,1
Tue Jan 31 2012,10:30p,Charlotte Bobcats,73,Los Angeles Lakers,106,Box Score,,18997,,1
Wed Feb 1 2012,7:00p,Washington Wizards,103,Orlando Magic,109,Box Score,,18846,,1
Wed Feb 1 2012,7:00p,Chicago Bulls,82,Philadelphia 76ers,98,Box Score,,18325,,1
Wed Feb 1 2012,7:30p,Toronto Raptors,64,Boston Celtics,100,Box Score,,18624,,1
Wed Feb 1 2012,7:30p,Detroit Pistons,96,New Jersey Nets,99,Box Score,,10504,,1
Wed Feb 1 2012,8:00p,Oklahoma City Thunder,95,Dallas Mavericks,86,Box Score,,20316,,0
Wed Feb 1 2012,8:00p,Miami Heat,97,Milwaukee Bucks,105,Box Score,,16116,,1
Wed Feb 1 2012,8:00p,Indiana Pacers,109,Minnesota Timberwolves,99,Box Score,,15017,,0
Wed Feb 1 2012,8:00p,Phoenix Suns,120,New Orleans Hornets,103,Box Score,,13598,,0
Wed Feb 1 2012,8:30p,Houston Rockets,91,San Antonio Spurs,99,Box Score,,18581,,1
Wed Feb 1 2012,10:00p,Charlotte Bobcats,68,Portland Trail Blazers,112,Box Score,,20608,,1
Wed Feb 1 2012,10:30p,Los Angeles Clippers,107,Utah Jazz,105,Box Score,,19637,,0
Thu Feb 2 2012,7:30p,Memphis Grizzlies,96,Atlanta Hawks,77,Box Score,,14211,,0
Thu Feb 2 2012,8:00p,Chicago Bulls,105,New York Knicks,102,Box Score,,19763,,0
Thu Feb 2 2012,8:30p,New Orleans Hornets,81,San Antonio Spurs,93,Box Score,,18082,,1
Thu Feb 2 2012,10:00p,Portland Trail Blazers,92,Sacramento Kings,95,Box Score,,11740,,1
Thu Feb 2 2012,10:30p,Utah Jazz,101,Golden State Warriors,119,Box Score,,18123,,1
Thu Feb 2 2012,10:30p,Denver Nuggets,112,Los Angeles Clippers,91,Box Score,,19223,,0
Fri Feb 3 2012,7:00p,Cleveland Cavaliers,94,Orlando Magic,102,Box Score,,18933,,1
Fri Feb 3 2012,7:00p,Miami Heat,99,Philadelphia 76ers,79,Box Score,,20694,,0
Fri Feb 3 2012,7:00p,Washington Wizards,89,Toronto Raptors,106,Box Score,,16382,,1
Fri Feb 3 2012,7:30p,Milwaukee Bucks,80,Detroit Pistons,88,Box Score,,13181,,1
Fri Feb 3 2012,7:30p,Minnesota Timberwolves,108,New Jersey Nets,105,Box Score,,15069,,0
Fri Feb 3 2012,8:00p,New York Knicks,89,Boston Celtics,91,Box Score,,18624,,1
Fri Feb 3 2012,8:00p,Phoenix Suns,81,Houston Rockets,99,Box Score,,15941,,1
Fri Feb 3 2012,8:00p,Memphis Grizzlies,94,Oklahoma City Thunder,101,Box Score,,18203,,1
Fri Feb 3 2012,8:30p,Indiana Pacers,98,Dallas Mavericks,87,Box Score,,20146,,0
Fri Feb 3 2012,10:30p,Los Angeles Lakers,93,Denver Nuggets,89,Box Score,,19155,,0
Sat Feb 4 2012,7:00p,Philadelphia 76ers,98,Atlanta Hawks,87,Box Score,,18012,,0
Sat Feb 4 2012,7:00p,Orlando Magic,85,Indiana Pacers,81,Box Score,,18165,,0
Sat Feb 4 2012,7:00p,Los Angeles Clippers,107,Washington Wizards,81,Box Score,,19419,,0
Sat Feb 4 2012,7:30p,Dallas Mavericks,88,Cleveland Cavaliers,91,Box Score,,17443,,1
Sat Feb 4 2012,7:30p,New Orleans Hornets,87,Detroit Pistons,89,Box Score,,13174,,1
Sat Feb 4 2012,7:30p,New Jersey Nets,92,New York Knicks,99,Box Score,,19763,,1
Sat Feb 4 2012,8:00p,Houston Rockets,91,Minnesota Timberwolves,100,Box Score,,19356,,1
Sat Feb 4 2012,8:30p,Chicago Bulls,113,Milwaukee Bucks,90,Box Score,,18717,,0
Sat Feb 4 2012,8:30p,Oklahoma City Thunder,96,San Antonio Spurs,107,Box Score,,18581,,1
Sat Feb 4 2012,9:00p,Charlotte Bobcats,89,Phoenix Suns,95,Box Score,,14928,,1
Sat Feb 4 2012,9:00p,Los Angeles Lakers,87,Utah Jazz,96,Box Score,,19642,,1
Sat Feb 4 2012,10:00p,Denver Nuggets,97,Portland Trail Blazers,117,Box Score,,20583,,1
Sat Feb 4 2012,10:00p,Golden State Warriors,106,Sacramento Kings,114,Box Score,OT,16411,,1
Sun Feb 5 2012,12:00p,Memphis Grizzlies,80,Boston Celtics,98,Box Score,,18624,,1
Sun Feb 5 2012,1:00p,Toronto Raptors,89,Miami Heat,95,Box Score,,19802,,1
