Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Wed Nov 3 2010,10:00p,San Antonio Spurs,112,Phoenix Suns,110,Box Score,,17060,,0
Wed Nov 3 2010,10:30p,Memphis Grizzlies,109,Golden State Warriors,115,Box Score,,16607,,1
Wed Nov 3 2010,10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,107,Box Score,,18414,,1
Wed Nov 3 2010,10:30p,Los Angeles Lakers,112,Sacramento Kings,100,Box Score,,16113,,0
Thu Nov 4 2010,8:00p,New York Knicks,120,Chicago Bulls,112,Box Score,,21203,,0
Thu Nov 4 2010,10:30p,Oklahoma City Thunder,107,Portland Trail Blazers,106,Box Score,OT,20611,,0
Fri Nov 5 2010,7:00p,Milwaukee Bucks,94,Indiana Pacers,90,Box Score,,14115,,0
Fri Nov 5 2010,7:00p,New Jersey Nets,90,Orlando Magic,105,Box Score,,18846,,1
Fri Nov 5 2010,7:00p,Cleveland Cavaliers,123,Philadelphia 76ers,116,Box Score,,10589,,0
Fri Nov 5 2010,7:30p,Charlotte Bobcats,90,Detroit Pistons,97,Box Score,,13291,,1
Fri Nov 5 2010,7:30p,Washington Wizards,91,New York Knicks,112,Box Score,,19763,,1
Fri Nov 5 2010,8:00p,Chicago Bulls,105,Boston Celtics,110,Box Score,OT,18624,,1
Fri Nov 5 2010,8:00p,Atlanta Hawks,113,Minnesota Timberwolves,103,Box Score,,17222,,0
Fri Nov 5 2010,8:00p,Miami Heat,93,New Orleans Hornets,96,Box Score,,17988,,1
Fri Nov 5 2010,10:00p,Memphis Grizzlies,118,Phoenix Suns,123,Box Score,2OT,16470,,1
Fri Nov 5 2010,10:30p,Los Angeles Clippers,104,Denver Nuggets,111,Box Score,,15559,,1
Fri Nov 5 2010,10:30p,Utah Jazz,78,Golden State Warriors,85,Box Score,,17902,,1
Fri Nov 5 2010,10:30p,Toronto Raptors,103,Los Angeles Lakers,108,Box Score,,18997,,1
Sat Nov 6 2010,7:00p,Orlando Magic,91,Charlotte Bobcats,88,Box Score,,18136,,0
